Track 2: Piano left
MetaMessage('track_name', name='Piano left', time=0)
note_on channel=0 note=45 velocity=45 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=39 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=46 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=40 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=47 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=42 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=48 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=43 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=50 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=47 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=53 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=48 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=53 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=50 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=54 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=50 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=55 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=49 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=55 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=51 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=55 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=52 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=38 velocity=50 time=30
note_on channel=0 note=45 velocity=60 time=0
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=38 velocity=0 time=0
note_on channel=0 note=38 velocity=46 time=30
note_on channel=0 note=45 velocity=55 time=0
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=38 velocity=0 time=0
note_on channel=0 note=38 velocity=49 time=30
note_on channel=0 note=45 velocity=58 time=0
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=38 velocity=0 time=0
note_on channel=0 note=38 velocity=46 time=30
note_on channel=0 note=45 velocity=55 time=0
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=38 velocity=0 time=0
note_on channel=0 note=38 velocity=48 time=30
note_on channel=0 note=45 velocity=57 time=0
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=38 velocity=0 time=0
note_on channel=0 note=38 velocity=44 time=30
note_on channel=0 note=45 velocity=52 time=0
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=38 velocity=0 time=0
note_on channel=0 note=39 velocity=46 time=30
note_on channel=0 note=45 velocity=55 time=0
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=39 velocity=0 time=0
note_on channel=0 note=39 velocity=42 time=30
note_on channel=0 note=45 velocity=50 time=0
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=39 velocity=0 time=0
note_on channel=0 note=39 velocity=45 time=30
note_on channel=0 note=45 velocity=53 time=0
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=39 velocity=0 time=0
note_on channel=0 note=39 velocity=41 time=30
note_on channel=0 note=45 velocity=49 time=0
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=39 velocity=0 time=0
note_on channel=0 note=39 velocity=42 time=30
note_on channel=0 note=45 velocity=51 time=0
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=39 velocity=0 time=0
note_on channel=0 note=39 velocity=42 time=30
note_on channel=0 note=45 velocity=50 time=0
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=39 velocity=0 time=0
note_on channel=0 note=40 velocity=47 time=30
note_on channel=0 note=45 velocity=56 time=0
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=40 velocity=0 time=0
note_on channel=0 note=40 velocity=41 time=30
note_on channel=0 note=45 velocity=49 time=0
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=40 velocity=0 time=0
note_on channel=0 note=40 velocity=44 time=30
note_on channel=0 note=45 velocity=52 time=0
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=40 velocity=0 time=0
note_on channel=0 note=40 velocity=41 time=30
note_on channel=0 note=45 velocity=49 time=0
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=40 velocity=0 time=0
note_on channel=0 note=44 velocity=50 time=30
note_on channel=0 note=40 velocity=42 time=0
note_on channel=0 note=40 velocity=0 time=90
note_on channel=0 note=44 velocity=0 time=0
note_on channel=0 note=44 velocity=50 time=30
note_on channel=0 note=40 velocity=42 time=0
note_on channel=0 note=40 velocity=0 time=90
note_on channel=0 note=44 velocity=0 time=0
note_on channel=0 note=33 velocity=42 time=30
note_on channel=0 note=45 velocity=50 time=0
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=33 velocity=0 time=0
note_on channel=0 note=45 velocity=42 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=45 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=42 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=44 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=42 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=44 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=38 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=45 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=39 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=46 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=40 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=47 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=42 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=48 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=43 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=50 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=47 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=53 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=48 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=53 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=50 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=54 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=50 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=46 velocity=55 time=30
note_on channel=0 note=46 velocity=0 time=90
note_on channel=0 note=46 velocity=49 time=30
note_on channel=0 note=46 velocity=0 time=90
note_on channel=0 note=46 velocity=55 time=30
note_on channel=0 note=46 velocity=0 time=90
note_on channel=0 note=46 velocity=51 time=30
note_on channel=0 note=46 velocity=0 time=90
note_on channel=0 note=46 velocity=55 time=30
note_on channel=0 note=46 velocity=0 time=90
note_on channel=0 note=46 velocity=52 time=30
note_on channel=0 note=46 velocity=0 time=90
note_on channel=0 note=46 velocity=60 time=30
note_on channel=0 note=46 velocity=0 time=90
note_on channel=0 note=46 velocity=55 time=30
note_on channel=0 note=46 velocity=0 time=90
note_on channel=0 note=46 velocity=58 time=30
note_on channel=0 note=46 velocity=0 time=90
note_on channel=0 note=46 velocity=55 time=30
note_on channel=0 note=46 velocity=0 time=90
note_on channel=0 note=46 velocity=57 time=30
note_on channel=0 note=46 velocity=0 time=90
note_on channel=0 note=46 velocity=52 time=30
note_on channel=0 note=46 velocity=0 time=90
note_on channel=0 note=46 velocity=55 time=30
note_on channel=0 note=46 velocity=0 time=90
note_on channel=0 note=46 velocity=50 time=30
note_on channel=0 note=46 velocity=0 time=90
note_on channel=0 note=46 velocity=53 time=30
note_on channel=0 note=46 velocity=0 time=90
note_on channel=0 note=46 velocity=49 time=30
note_on channel=0 note=46 velocity=0 time=90
note_on channel=0 note=46 velocity=51 time=30
note_on channel=0 note=46 velocity=0 time=90
note_on channel=0 note=46 velocity=50 time=30
note_on channel=0 note=46 velocity=0 time=90
note_on channel=0 note=47 velocity=56 time=30
note_on channel=0 note=47 velocity=0 time=90
note_on channel=0 note=47 velocity=49 time=30
note_on channel=0 note=47 velocity=0 time=90
note_on channel=0 note=47 velocity=52 time=30
note_on channel=0 note=47 velocity=0 time=90
note_on channel=0 note=47 velocity=49 time=30
note_on channel=0 note=47 velocity=0 time=90
note_on channel=0 note=47 velocity=50 time=30
note_on channel=0 note=47 velocity=0 time=90
note_on channel=0 note=47 velocity=50 time=30
note_on channel=0 note=47 velocity=0 time=90
note_on channel=0 note=48 velocity=55 time=30
note_on channel=0 note=48 velocity=0 time=480
note_on channel=0 note=52 velocity=39 time=240
note_on channel=0 note=56 velocity=44 time=0
note_on channel=0 note=56 velocity=0 time=240
note_on channel=0 note=52 velocity=0 time=0
note_on channel=0 note=33 velocity=35 time=480
control_change channel=0 control=64 value=127 time=32
note_on channel=0 note=33 velocity=0 time=208
note_on channel=0 note=64 velocity=32 time=240
note_on channel=0 note=60 velocity=27 time=0
note_on channel=0 note=57 velocity=27 time=0
note_on channel=0 note=57 velocity=0 time=240
note_on channel=0 note=60 velocity=0 time=0
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=64 velocity=33 time=0
note_on channel=0 note=60 velocity=28 time=0
note_on channel=0 note=57 velocity=28 time=0
note_on channel=0 note=57 velocity=0 time=240
note_on channel=0 note=60 velocity=0 time=0
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=64 velocity=32 time=240
note_on channel=0 note=60 velocity=27 time=0
note_on channel=0 note=57 velocity=27 time=0
note_on channel=0 note=57 velocity=0 time=240
note_on channel=0 note=60 velocity=0 time=0
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=64 velocity=34 time=0
note_on channel=0 note=60 velocity=28 time=0
note_on channel=0 note=57 velocity=28 time=0
note_on channel=0 note=57 velocity=0 time=240
note_on channel=0 note=60 velocity=0 time=0
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=64 velocity=32 time=240
note_on channel=0 note=60 velocity=27 time=0
note_on channel=0 note=57 velocity=27 time=0
note_on channel=0 note=57 velocity=0 time=240
note_on channel=0 note=60 velocity=0 time=0
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=64 velocity=33 time=0
note_on channel=0 note=60 velocity=28 time=0
note_on channel=0 note=57 velocity=28 time=0
note_on channel=0 note=57 velocity=0 time=240
note_on channel=0 note=60 velocity=0 time=0
note_on channel=0 note=64 velocity=0 time=0
control_change channel=0 control=64 value=0 time=1200
note_on channel=0 note=45 velocity=37 time=720
control_change channel=0 control=64 value=127 time=43
note_on channel=0 note=45 velocity=0 time=77
note_on channel=0 note=52 velocity=33 time=0
note_on channel=0 note=52 velocity=0 time=120
note_on channel=0 note=57 velocity=33 time=0
note_on channel=0 note=57 velocity=0 time=120
note_on channel=0 note=40 velocity=40 time=360
control_change channel=0 control=64 value=0 time=19
control_change channel=0 control=64 value=127 time=38
note_on channel=0 note=40 velocity=0 time=63
note_on channel=0 note=52 velocity=33 time=0
note_on channel=0 note=52 velocity=0 time=120
note_on channel=0 note=56 velocity=34 time=0
note_on channel=0 note=56 velocity=0 time=120
note_on channel=0 note=45 velocity=38 time=360
control_change channel=0 control=64 value=0 time=6
control_change channel=0 control=64 value=127 time=45
note_on channel=0 note=45 velocity=0 time=69
note_on channel=0 note=52 velocity=35 time=0
note_on channel=0 note=52 velocity=0 time=120
note_on channel=0 note=57 velocity=35 time=0
note_on channel=0 note=57 velocity=0 time=120
control_change channel=0 control=64 value=0 time=34
note_on channel=0 note=45 velocity=38 time=1046
control_change channel=0 control=64 value=127 time=57
note_on channel=0 note=45 velocity=0 time=63
note_on channel=0 note=52 velocity=35 time=0
note_on channel=0 note=52 velocity=0 time=120
note_on channel=0 note=57 velocity=34 time=0
note_on channel=0 note=57 velocity=0 time=120
note_on channel=0 note=40 velocity=38 time=360
control_change channel=0 control=64 value=0 time=11
control_change channel=0 control=64 value=127 time=58
note_on channel=0 note=40 velocity=0 time=51
note_on channel=0 note=52 velocity=37 time=0
note_on channel=0 note=52 velocity=0 time=120
note_on channel=0 note=56 velocity=37 time=0
note_on channel=0 note=56 velocity=0 time=120
note_on channel=0 note=45 velocity=38 time=360
control_change channel=0 control=64 value=0 time=18
control_change channel=0 control=64 value=127 time=38
note_on channel=0 note=45 velocity=0 time=64
note_on channel=0 note=52 velocity=32 time=0
note_on channel=0 note=52 velocity=0 time=120
note_on channel=0 note=57 velocity=32 time=0
control_change channel=0 control=64 value=0 time=42
note_on channel=0 note=57 velocity=0 time=78
note_on channel=0 note=48 velocity=44 time=360
control_change channel=0 control=64 value=0 time=11
control_change channel=0 control=64 value=127 time=58
note_on channel=0 note=48 velocity=0 time=51
note_on channel=0 note=55 velocity=38 time=0
note_on channel=0 note=55 velocity=0 time=120
note_on channel=0 note=60 velocity=39 time=0
note_on channel=0 note=60 velocity=0 time=120
note_on channel=0 note=43 velocity=44 time=360
control_change channel=0 control=64 value=0 time=11
control_change channel=0 control=64 value=127 time=58
note_on channel=0 note=43 velocity=0 time=51
note_on channel=0 note=55 velocity=38 time=0
note_on channel=0 note=55 velocity=0 time=120
note_on channel=0 note=59 velocity=39 time=0
note_on channel=0 note=59 velocity=0 time=120
note_on channel=0 note=45 velocity=44 time=360
control_change channel=0 control=64 value=0 time=11
control_change channel=0 control=64 value=127 time=58
note_on channel=0 note=45 velocity=0 time=51
note_on channel=0 note=52 velocity=38 time=0
note_on channel=0 note=52 velocity=0 time=120
note_on channel=0 note=57 velocity=39 time=0
note_on channel=0 note=57 velocity=0 time=120
note_on channel=0 note=40 velocity=44 time=360
control_change channel=0 control=64 value=0 time=11
control_change channel=0 control=64 value=127 time=58
note_on channel=0 note=40 velocity=0 time=51
note_on channel=0 note=52 velocity=38 time=0
note_on channel=0 note=52 velocity=0 time=120
note_on channel=0 note=64 velocity=39 time=0
note_on channel=0 note=64 velocity=0 time=90
note_on channel=0 note=64 velocity=39 time=270
note_on channel=0 note=64 velocity=0 time=120
note_on channel=0 note=76 velocity=44 time=0
note_on channel=0 note=76 velocity=0 time=90
control_change channel=0 control=64 value=0 time=228
note_on channel=0 note=75 velocity=42 time=42
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=76 velocity=50 time=0
note_on channel=0 note=76 velocity=0 time=90
note_on channel=0 note=75 velocity=39 time=270
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=76 velocity=41 time=0
note_on channel=0 note=76 velocity=0 time=90
note_on channel=0 note=45 velocity=36 time=1110
control_change channel=0 control=64 value=127 time=71
note_on channel=0 note=45 velocity=0 time=49
note_on channel=0 note=52 velocity=33 time=0
note_on channel=0 note=52 velocity=0 time=120
note_on channel=0 note=57 velocity=33 time=0
note_on channel=0 note=57 velocity=0 time=120
note_on channel=0 note=40 velocity=40 time=360
control_change channel=0 control=64 value=0 time=19
control_change channel=0 control=64 value=127 time=38
note_on channel=0 note=40 velocity=0 time=63
note_on channel=0 note=52 velocity=33 time=0
note_on channel=0 note=52 velocity=0 time=120
note_on channel=0 note=56 velocity=34 time=0
note_on channel=0 note=56 velocity=0 time=120
note_on channel=0 note=45 velocity=38 time=360
control_change channel=0 control=64 value=0 time=6
control_change channel=0 control=64 value=127 time=45
note_on channel=0 note=45 velocity=0 time=69
note_on channel=0 note=52 velocity=35 time=0
note_on channel=0 note=52 velocity=0 time=120
note_on channel=0 note=57 velocity=35 time=0
note_on channel=0 note=57 velocity=0 time=120
control_change channel=0 control=64 value=0 time=34
note_on channel=0 note=45 velocity=38 time=1046
control_change channel=0 control=64 value=127 time=50
note_on channel=0 note=45 velocity=0 time=70
note_on channel=0 note=52 velocity=35 time=0
note_on channel=0 note=52 velocity=0 time=120
note_on channel=0 note=57 velocity=34 time=0
note_on channel=0 note=57 velocity=0 time=120
note_on channel=0 note=40 velocity=38 time=360
control_change channel=0 control=64 value=0 time=11
control_change channel=0 control=64 value=127 time=58
note_on channel=0 note=40 velocity=0 time=51
note_on channel=0 note=52 velocity=37 time=0
note_on channel=0 note=52 velocity=0 time=120
note_on channel=0 note=56 velocity=37 time=0
note_on channel=0 note=56 velocity=0 time=120
note_on channel=0 note=33 velocity=17 time=360
note_on channel=0 note=45 velocity=25 time=0
control_change channel=0 control=64 value=0 time=18
control_change channel=0 control=64 value=127 time=75
note_on channel=0 note=45 velocity=0 time=147
note_on channel=0 note=33 velocity=0 time=0
control_change channel=0 control=64 value=0 time=0
MetaMessage('end_of_track', time=0)
